"","Country","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","Rank 12","Rank 13","Rank 14","Rank 15","Rank 16","Rank 17"
"1","Afghanistan",16,8,1,17,4,10,9,6,13,5,2,11,3,12,14,15,7
"2","Albania",9,16,3,4,8,11,10,5,1,7,17,14,2,13,12,6,15
"3","Algeria",9,4,8,3,17,16,10,13,2,15,5,7,1,6,12,11,14
"4","Andorra",4,13,12,8,11,16,17,6,15,7,10,1,9,2,5,3,14
"5","Angola",12,8,9,4,16,17,6,3,2,7,1,11,10,13,14,5,15
"6","Antigua and Barbuda",8,17,1,13,16,6,9,4,10,11,14,15,3,7,12,2,5
"7","Argentina",16,9,1,12,7,6,8,10,11,4,3,5,17,13,2,14,15
"8","Armenia",16,1,4,8,2,9,17,7,6,11,10,12,3,13,15,5,14
"9","Australia",9,8,4,13,11,10,17,6,2,12,16,3,5,7,1,15,14
"10","Austria",1,16,4,9,13,8,17,5,12,14,7,10,11,15,6,3,2
"11","Azerbaijan",7,4,9,2,16,8,10,12,17,6,1,3,13,11,5,15,14
"12","Bahamas, The",4,8,16,1,13,11,5,10,9,3,17,15,6,7,2,12,14
"13","Bangladesh",8,4,9,1,11,6,13,10,17,16,7,2,3,12,5,15,14
"14","Barbados",8,17,9,16,13,4,10,6,1,7,2,12,3,11,5,15,14
"15","Belarus",9,12,8,11,7,4,1,13,6,16,2,17,3,10,5,15,14
"16","Belgium",2,16,13,1,12,8,17,14,10,15,3,11,9,7,6,5,4
"17","Belize",4,16,13,17,3,7,8,5,1,9,2,6,11,14,15,12,10
"18","Benin",8,9,2,1,16,6,13,3,12,4,17,11,5,15,10,7,14
"19","Bhutan",13,16,4,9,1,17,6,11,8,3,12,10,2,15,5,7,14
"20","Bosnia and Herzegovina",16,9,1,7,8,4,3,12,10,6,11,2,17,5,13,15,14
"21","Botswana",8,9,17,4,6,13,3,16,1,7,2,11,12,15,5,10,14
"22","Brazil",8,9,16,6,17,1,10,12,11,13,4,7,3,15,2,5,14
"23","Brunei Darussalam",4,9,17,8,7,16,13,6,10,12,2,3,15,1,11,14,5
"24","Bulgaria",13,9,11,17,4,16,8,6,7,12,10,1,3,2,5,15,14
"25","Burkina Faso",17,8,13,16,6,10,3,1,15,12,5,4,7,2,11,9,14
"26","Burundi",6,8,9,16,11,17,7,2,12,1,13,4,3,15,5,10,14
"27","Cabo Verde",1,16,4,8,12,9,17,11,10,3,6,7,13,2,5,15,14
"28","Cambodia",16,6,4,1,9,17,8,3,11,13,2,15,5,7,10,14,12
"29","Cameroon",8,9,16,4,17,3,6,1,12,2,7,11,13,5,10,15,14
"30","Canada",13,8,17,1,16,12,5,9,4,10,3,15,7,11,6,2,14
"31","Central African Republic",16,17,9,1,6,13,2,8,3,5,4,12,10,11,7,15,14
"32","Chad",8,17,13,16,4,3,1,5,11,2,10,6,7,9,12,15,14
"33","Chile",5,16,4,3,12,9,1,6,13,8,14,11,10,17,7,15,2
"34","China",9,11,1,6,7,17,16,4,8,2,12,5,10,15,14,3,13
"35","Colombia",16,1,9,13,5,6,12,2,11,7,4,14,15,8,17,10,3
"36","Comoros",8,1,6,16,3,9,13,4,17,12,7,2,11,5,10,14,15
"37","Congo, Dem. Rep.",1,8,9,6,16,4,13,2,17,3,11,12,15,10,7,5,14
"38","Congo, Rep.",8,4,1,9,16,3,12,6,17,11,13,2,10,7,15,5,14
"39","Costa Rica",16,1,2,13,17,10,6,9,8,4,3,5,11,12,7,14,15
"40","Croatia",9,16,1,11,7,13,8,4,6,12,2,17,5,10,3,15,14
"41","Cuba",1,9,12,7,6,17,13,8,2,11,10,16,3,4,15,14,5
"42","Cyprus",8,17,16,7,9,4,13,1,12,10,2,6,11,3,15,5,14
"43","Czechia",16,11,9,1,12,8,10,4,13,17,6,7,3,15,2,5,14
"44","Denmark",9,8,4,13,12,16,17,1,7,2,11,10,3,15,6,5,14
"45","Djibouti",8,1,17,4,6,16,3,13,9,11,7,2,12,10,5,14,15
"46","Dominica",1,13,11,9,8,6,17,12,4,7,2,15,3,16,5,14,10
"47","Ecuador",16,2,1,6,9,11,12,5,8,10,3,4,13,17,7,14,15
"48","Egypt, Arab Rep.",4,9,16,6,7,11,1,10,17,3,12,8,2,13,15,14,5
"49","El Salvador",16,1,5,13,3,8,11,9,10,4,6,17,12,2,7,14,15
"50","Equatorial Guinea",16,4,14,9,11,7,15,1,6,3,10,12,13,NA,NA,NA,NA
"51","Eritrea",8,5,9,12,2,13,16,11,1,7,3,4,17,10,15,6,14
"52","Estonia",4,8,11,1,3,9,16,12,17,10,13,7,5,6,15,14,2
"53","Eswatini",1,8,13,6,4,9,17,16,11,12,2,10,7,3,15,5,14
"54","Ethiopia",9,16,17,8,11,2,10,13,1,3,4,7,6,12,15,5,14
"55","Fiji",4,13,6,9,11,7,2,16,8,3,1,17,5,12,14,15,10
"56","Finland",12,4,13,17,7,15,8,2,1,9,16,5,11,6,3,10,14
"57","France",13,7,12,9,14,6,8,16,15,11,17,1,10,NA,NA,NA,NA
"58","Gabon",6,9,15,8,4,14,12,2,17,7,11,16,3,1,10,13,5
"59","Gambia, The",4,8,17,16,1,2,9,6,3,5,13,10,11,7,12,15,14
"60","Georgia",8,1,9,17,4,7,16,10,2,3,12,13,6,11,5,15,14
"61","Germany",8,12,13,7,1,17,4,5,15,11,9,16,6,2,14,10,3
"62","Ghana",17,9,16,4,1,13,6,10,7,8,12,2,11,15,3,5,NA
"63","Greece",8,16,9,7,1,6,4,17,12,10,11,2,13,14,3,15,5
"64","Grenada",4,13,1,5,16,8,3,7,9,11,17,2,6,12,10,14,15
"65","Guatemala",16,2,1,11,6,13,12,5,9,4,8,15,3,17,10,7,14
"66","Guinea",2,16,1,17,13,8,6,11,10,4,7,9,5,3,12,14,15
"67","Guinea-Bissau",1,7,16,10,9,11,6,8,12,14,NA,NA,NA,NA,NA,NA,NA
"68","Guyana",15,13,7,6,9,8,17,14,4,12,2,16,11,1,3,5,10
"69","Honduras",16,1,9,4,5,11,3,8,12,10,7,14,2,15,17,13,6
"70","Hungary",12,1,8,16,3,9,10,4,17,13,11,15,6,7,5,2,14
"71","Iceland",15,12,7,14,11,6,13,9,2,16,17,8,1,4,10,3,5
"72","India",6,9,7,15,8,13,17,1,16,11,12,10,2,3,4,14,5
"73","Indonesia",9,6,8,14,16,12,7,10,2,17,4,11,1,13,15,3,5
"74","Iran, Islamic Rep.",11,7,16,5,2,10,9,8,6,3,1,12,13,17,4,15,14
"75","Iraq",16,17,13,12,2,1,8,6,4,9,5,10,7,11,3,15,14
"76","Ireland",9,11,17,7,16,13,8,6,4,12,1,15,3,10,2,5,14
"77","Israel",13,7,11,1,12,9,17,6,15,16,10,2,4,8,3,NA,NA
"78","Italy",8,1,9,12,15,5,4,11,6,17,16,13,2,3,7,10,14
"79","Jamaica",8,9,13,10,4,6,7,17,1,11,16,2,5,12,3,15,14
"80","Japan",11,9,15,14,1,6,7,12,16,2,17,13,4,5,10,8,3
"81","Jordan",5,17,4,9,7,2,11,6,8,16,12,3,10,14,1,15,13
"82","Kazakhstan",8,1,17,9,10,16,7,13,3,12,2,6,4,11,5,14,15
"83","Kenya",9,8,4,3,13,17,16,6,10,1,7,2,15,11,12,5,14
"84","Kiribati",4,13,8,9,11,14,3,17,16,15,1,6,7,5,10,2,12
"85","Korea, Dem. Rep.",1,11,13,17,16,6,10,12,5,3,8,9,2,4,14,15,7
"86","Korea, Rep.",9,7,6,8,4,16,17,1,11,13,15,10,12,3,2,14,5
"87","Kuwait",16,9,7,8,14,4,1,6,17,11,3,12,15,5,13,2,10
"88","Kyrgyz Republic",16,9,11,6,7,4,1,10,12,8,17,5,2,3,15,13,14
"89","Lao PDR",8,9,4,12,1,11,16,2,6,7,13,17,3,5,15,10,14
"90","Latvia",16,4,1,9,11,10,8,7,13,12,3,6,17,5,2,15,14
"91","Lebanon",9,2,8,17,12,16,10,11,4,6,7,15,3,14,1,13,5
"92","Lesotho",8,9,4,17,16,6,1,10,13,2,12,15,11,7,5,3,14
"93","Liberia",8,16,4,17,1,9,10,6,2,13,5,3,15,12,11,7,14
"94","Libya",16,9,4,11,1,8,6,17,10,2,12,13,5,7,14,3,15
"95","Liechtenstein",16,9,17,2,12,8,14,6,10,5,13,7,1,11,15,3,4
"96","Lithuania",16,8,4,1,9,10,11,17,7,6,13,3,5,12,2,15,14
"97","Luxembourg",17,5,1,8,13,4,10,16,9,6,2,12,3,15,7,11,14
"98","Madagascar",11,9,7,15,2,16,17,8,6,4,13,12,1,10,3,14,5
"99","Malawi",4,6,13,8,1,9,11,2,16,3,17,5,7,10,15,12,14
"100","Malaysia",9,8,4,7,6,17,16,1,11,12,10,13,2,15,3,5,14
"101","Maldives",8,4,16,13,6,9,11,5,1,17,3,10,14,7,2,12,15
"102","Mali",13,1,8,6,16,3,4,5,17,2,11,9,12,10,15,7,14
"103","Malta",11,9,4,13,8,12,16,1,10,17,3,15,2,6,7,5,14
"104","Marshall Islands",13,16,11,6,1,17,14,4,12,9,7,3,8,10,2,15,5
"105","Mauritania",8,1,13,9,16,3,17,4,11,6,7,2,14,15,10,12,5
