"","Country","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","Rank 12","Rank 13","Rank 14","Rank 15","Rank 16","Rank 17"
"1","Afghanistan",13,12,15,6,17,8,16,2,7,3,4,11,5,9,1,10,14
"2","Albania",1,10,4,13,11,7,3,15,12,6,17,8,16,5,2,14,9
"3","Algeria",1,10,12,13,3,17,11,4,8,7,15,16,14,2,6,9,5
"4","Angola",13,12,14,15,8,6,17,2,5,4,7,11,16,3,1,9,10
"5","Argentina",4,1,13,11,3,5,12,8,6,7,17,2,14,15,16,9,10
"6","Armenia",10,1,13,12,11,3,7,8,16,4,5,6,17,15,2,9,14
"7","Australia",1,3,11,4,9,6,16,5,8,10,7,14,17,15,2,12,13
"8","Austria",1,9,4,11,10,3,6,16,7,5,8,2,17,15,13,12,14
"9","Azerbaijan",1,10,4,12,11,13,3,17,7,8,6,15,16,2,5,9,14
"10","Bangladesh",13,12,1,10,8,6,2,4,14,3,5,17,7,15,9,16,11
"11","Belarus",10,1,11,4,15,6,3,13,5,7,17,12,16,2,8,9,14
"12","Belgium",10,1,9,11,4,3,5,16,8,7,6,15,2,17,13,14,12
"13","Belize",13,11,12,6,3,7,14,17,8,1,16,5,2,15,4,9,10
"14","Benin",13,12,8,10,15,2,17,14,1,4,6,16,3,11,9,5,7
"15","Bhutan",10,1,13,11,16,12,7,3,6,8,5,15,4,17,9,2,14
"16","Bolivia",1,13,4,12,17,8,6,5,7,3,15,2,11,10,16,9,14
"17","Bosnia and Herzegovina",1,13,14,11,10,15,17,6,3,12,8,7,2,16,4,9,5
"18","Botswana",12,13,11,17,15,6,5,1,16,8,4,9,3,7,2,10,14
"19","Brazil",13,7,4,11,6,1,12,3,17,8,9,5,2,14,15,16,10
"20","BRICS members",1,4,13,12,3,8,9,7,6,2,11,5,14,17,16,15,10
"21","BRICSplus members",1,4,13,12,3,8,9,7,2,11,6,5,14,17,16,15,10
"22","Bulgaria",1,15,11,4,13,8,3,7,5,16,9,17,2,6,14,12,10
"23","Burkina Faso",13,12,15,8,17,11,2,10,3,6,16,5,1,9,4,7,14
"24","Burundi",13,12,15,11,8,10,2,17,5,6,3,16,4,7,9,1,14
"25","Cabo Verde",13,11,1,12,3,16,4,5,17,7,15,14,6,8,9,10,2
"26","Cameroon",13,12,14,8,15,2,5,6,11,1,4,7,3,17,16,10,9
"27","Canada",1,11,3,4,10,9,6,5,16,7,8,17,2,14,15,12,13
"28","Central African Republic",13,12,15,8,11,16,6,10,17,2,5,7,4,3,9,1,14
"29","Chad",13,12,15,8,10,17,6,2,11,16,3,5,1,4,9,7,14
"30","Chile",4,1,11,6,3,17,13,7,8,14,5,16,12,9,2,15,10
"31","China",4,1,3,9,2,8,5,13,12,11,6,7,16,14,15,17,10
"32","Colombia",13,4,12,11,3,6,7,17,5,1,8,15,2,14,9,16,10
"33","Comoros",13,12,15,11,17,3,16,1,6,8,4,14,2,7,5,9,10
"34","Congo, Dem. Rep.",13,12,14,15,8,2,17,4,6,5,3,11,10,16,7,9,1
"35","Congo, Rep.",12,13,14,15,11,8,5,6,2,17,3,16,4,7,1,10,9
"36","Costa Rica",1,13,3,7,4,11,5,12,16,6,8,17,15,9,14,2,10
"37","Cote d'Ivoire",13,12,14,8,1,15,10,2,11,17,6,16,4,7,3,9,5
"38","Croatia",1,4,10,11,15,6,3,14,7,13,8,9,16,5,2,17,12
"39","Cyprus",1,4,11,3,10,9,7,15,5,8,13,16,6,2,17,14,12
"40","Czechia",10,1,11,4,3,15,6,16,9,8,7,13,5,17,2,12,14
"41","Denmark",1,4,10,11,9,3,16,5,6,7,8,17,15,14,2,13,12
"42","Djibouti",13,12,11,1,17,14,16,6,8,2,3,10,15,9,5,7,4
"43","Dominican Republic",1,13,14,4,12,2,11,8,15,5,7,3,6,17,10,16,9
"44","East and South Asia",1,13,4,12,8,3,9,7,6,2,14,11,5,16,17,15,10
"45","Eastern Europe and Central Asia",4,10,13,12,1,11,3,15,8,6,17,7,2,5,9,16,14
"46","Ecuador",4,13,1,12,14,5,3,6,7,17,8,11,15,2,9,16,10
"47","Egypt, Arab Rep.",13,1,12,10,3,7,11,4,8,15,6,17,2,9,16,5,14
"48","El Salvador",13,1,12,4,3,17,7,6,11,8,5,15,16,10,2,14,9
"49","Estonia",11,1,4,16,3,6,14,9,7,10,5,15,8,13,2,17,12
"50","Eswatini",13,11,12,5,7,17,16,4,6,8,9,15,2,3,1,10,14
"51","Ethiopia",13,12,10,8,15,2,5,11,1,3,17,6,7,16,4,9,14
"52","Fiji",13,1,4,10,12,16,11,3,6,14,7,17,8,9,2,5,15
"53","Finland",1,11,10,4,3,9,6,7,16,5,14,8,15,13,17,2,12
"54","France",4,1,11,3,9,10,6,5,13,8,7,15,2,16,14,17,12
"55","Gabon",1,12,7,15,13,11,14,8,6,10,5,4,2,3,17,16,9
"56","Gambia, The",13,12,15,11,8,17,14,6,10,3,2,4,16,5,7,9,1
"57","Georgia",4,11,13,12,1,7,3,10,16,6,8,17,15,14,5,2,9
"58","Germany",1,11,4,9,3,16,10,6,8,15,5,17,7,14,2,13,12
"59","Ghana",13,12,4,8,15,2,16,11,6,1,3,7,17,9,5,14,10
"60","Greece",1,11,4,3,6,9,15,10,13,7,8,16,14,2,5,12,17
"61","Guatemala",13,12,1,4,3,6,8,11,17,7,14,15,5,2,16,9,10
"62","Guinea",13,12,10,15,8,1,14,2,17,11,6,16,4,5,3,7,9
"63","Guinea-Bissau",13,12,10,14,8,15,16,11,17,2,6,5,1,3,9,4,7
"64","Guyana",1,15,12,11,4,8,6,3,17,2,5,7,16,13,9,14,10
"65","Haiti",13,12,4,15,14,8,6,2,10,17,5,1,3,11,16,7,9
"66","High-income Countries",1,4,9,3,11,8,16,7,5,10,6,2,15,17,13,14,12
"67","Honduras",13,12,15,6,1,3,17,8,5,14,7,11,4,2,16,9,10
"68","Hungary",1,11,4,10,6,15,3,13,9,8,7,16,12,5,2,17,14
"69","Iceland",10,1,7,11,3,4,5,16,9,17,6,8,13,14,2,12,15
"70","India",13,1,4,12,8,7,3,14,6,9,11,17,16,2,15,5,10
"71","Indonesia",4,13,12,1,8,6,14,7,3,16,5,2,10,17,9,11,15
"72","Iran, Islamic Rep.",1,12,3,14,4,13,8,9,11,7,10,2,15,16,6,17,5
"73","Iraq",1,10,13,12,17,7,3,14,4,16,8,6,2,9,11,15,5
"74","Ireland",1,4,11,3,10,16,9,6,8,5,7,14,15,2,17,13,12
"75","Israel",1,9,3,11,4,8,13,7,10,5,6,16,12,2,17,15,14
"76","Italy",1,4,3,11,9,15,13,6,8,7,10,16,5,2,12,17,14
"77","Jamaica",1,13,4,12,3,17,5,8,11,7,6,14,16,2,9,15,10
"78","Japan",4,1,9,3,11,16,8,6,10,17,13,7,2,12,15,5,14
"79","Jordan",1,13,14,12,3,10,7,9,4,16,17,8,11,6,2,15,5
"80","Kazakhstan",1,10,4,11,3,12,6,8,5,7,16,15,17,13,2,9,14
"81","Kenya",13,12,8,4,5,14,17,15,10,11,2,3,16,1,6,9,7
"82","Korea, Rep.",9,1,4,3,11,10,8,2,16,6,7,12,13,5,17,14,15
"83","Kyrgyz Republic",13,10,1,4,12,11,7,3,17,6,8,15,5,2,16,9,14
"84","Lao PDR",13,12,8,11,6,1,4,2,5,17,7,10,3,15,16,9,14
"85","Latin America and the Caribbean",13,4,12,7,1,11,6,3,8,17,5,15,2,14,9,16,10
"86","Latvia",1,4,11,6,15,7,3,14,8,16,5,9,13,10,2,12,17
"87","Lebanon",1,10,13,9,4,3,12,14,6,2,11,7,15,8,16,5,17
"88","Lesotho",12,13,15,17,11,5,8,6,16,2,4,1,3,9,10,7,14
"89","Liberia",13,12,14,10,8,6,15,3,4,17,2,16,11,5,1,7,9
"90","Lithuania",1,4,11,16,3,15,14,9,6,8,13,5,7,10,2,17,12
"91","Low-income Countries",13,12,14,15,8,10,2,11,6,17,5,3,16,4,7,9,1
"92","Lower-middle-income Countries",13,12,1,4,8,14,3,7,6,17,15,2,11,9,16,10,5
"93","Luxembourg",1,11,4,3,16,10,9,5,8,6,17,15,2,7,13,12,14
"94","Madagascar",13,12,8,14,5,11,4,2,17,15,6,10,16,7,3,9,1
"95","Malawi",13,12,8,2,15,16,10,6,5,11,17,4,3,7,9,1,14
"96","Malaysia",1,9,3,4,8,12,13,6,11,7,14,17,16,5,2,10,15
"97","Maldives",1,10,13,4,11,3,8,12,6,16,17,7,14,9,2,5,15
"98","Mali",13,12,15,8,10,11,6,2,17,16,1,3,5,7,9,4,14
"99","Malta",1,11,3,4,10,8,15,9,7,5,14,16,2,12,13,6,17
"100","Mauritania",13,12,10,1,14,6,17,15,3,11,16,8,2,4,7,5,9
"101","Mauritius",1,11,13,4,8,3,12,7,2,6,10,16,17,9,5,14,15
"102","Mexico",4,13,1,12,5,3,11,6,7,8,17,14,9,2,15,16,10
"103","Middle East and North Africa",12,1,13,10,3,4,7,14,11,17,8,9,2,16,15,6,5
"104","Moldova",10,4,1,11,13,15,5,7,17,12,3,6,8,16,2,9,14
"105","Mongolia",1,4,10,17,8,15,3,6,5,16,13,12,11,2,9,7,14
"106","Montenegro",1,13,11,4,17,7,3,10,16,12,6,8,9,2,15,14,5
"107","Morocco",13,1,12,4,11,3,14,17,7,8,15,6,2,16,9,10,5
"108","Mozambique",13,12,14,8,5,17,15,11,4,6,2,16,3,7,9,10,1
"109","Myanmar",13,12,10,1,6,2,4,8,11,5,16,15,3,14,7,17,9
"110","Namibia",13,15,4,5,12,14,11,17,8,16,1,6,3,9,2,7,10
"111","Nepal",13,12,4,1,10,6,15,8,2,17,3,16,7,11,5,9,14
"112","Netherlands",1,4,11,3,10,9,16,6,5,8,7,2,17,15,14,13,12
"113","Nicaragua",13,12,5,3,1,4,15,8,6,11,17,14,7,16,2,9,10
"114","Niger",13,12,15,10,8,17,16,2,6,5,3,11,1,9,7,4,14
"115","Nigeria",13,12,15,10,17,8,14,6,2,9,4,5,16,3,1,7,11
"116","North Macedonia",1,11,13,10,3,15,12,17,7,6,16,8,4,2,9,5,14
"117","Norway",1,7,4,11,3,10,9,16,5,17,6,8,14,15,2,12,13
"118","Oceania",13,12,11,8,14,16,4,10,15,17,5,3,1,2,7,9,6
"119","OECD members",1,4,9,3,11,6,8,7,5,13,16,17,2,15,10,14,12
"120","Pakistan",13,10,12,1,15,14,8,7,6,17,3,9,2,16,5,11,4
"121","Panama",1,13,4,3,11,7,12,6,14,8,15,17,5,16,9,2,10
"122","Papua New Guinea",12,13,8,14,15,4,16,11,5,6,10,17,3,2,1,7,9
"123","Paraguay",1,13,7,12,6,4,2,5,11,8,3,17,15,16,9,10,14
"124","Peru",4,13,12,1,14,3,6,7,5,8,17,2,11,15,16,10,9
"125","Philippines",13,12,4,1,14,6,8,17,2,5,11,3,7,15,9,16,10
"126","Poland",4,1,10,11,15,3,9,8,16,6,13,7,5,14,12,2,17
"127","Portugal",4,1,11,3,9,7,13,16,5,10,6,8,15,17,12,2,14
"128","Romania",1,11,13,14,10,3,7,4,8,15,16,6,9,12,2,5,17
"129","Russian Federation",1,4,11,3,10,8,12,6,9,13,5,15,17,7,2,14,16
"130","Rwanda",13,12,5,8,15,11,16,3,17,2,6,4,9,10,7,1,14
"131","Sao Tome and Principe",13,12,14,16,11,15,4,3,17,2,6,10,8,1,5,7,9
"132","Senegal",13,12,8,11,14,17,1,10,6,15,2,3,16,5,7,9,4
"133","Serbia",1,4,11,12,13,3,8,10,6,17,7,2,9,15,16,5,14
"134","Sierra Leone",13,12,14,10,17,8,1,15,2,6,11,4,16,5,3,9,7
"135","Slovak Republic",10,1,11,3,15,4,6,13,16,7,9,8,5,2,12,17,14
"136","Slovenia",10,1,4,11,3,6,9,5,15,7,8,16,13,14,17,2,12
"137","Small Island Developing States",13,12,11,4,14,8,3,5,1,17,2,16,10,6,7,15,9
"138","Somalia",13,12,11,8,15,14,6,4,7,17,16,1,3,2,5,9,10
"139","South Africa",13,5,12,17,9,4,14,8,11,7,6,15,3,16,2,1,10
"140","South Sudan",13,12,15,5,8,6,16,10,17,3,11,2,7,9,4,1,14
"141","Spain",1,11,4,3,9,5,6,13,10,7,16,8,15,2,12,17,14
"142","Sri Lanka",13,1,12,3,4,8,14,11,7,2,10,6,15,17,16,9,5
"143","Sub-Saharan Africa",13,12,8,15,14,2,17,6,5,11,3,10,16,4,7,9,1
"144","Sudan",13,12,10,14,7,15,3,8,11,16,5,17,6,1,4,2,9
