"","Country","Goal 1","Goal 2","Goal 3","Goal 4","Goal 5","Goal 6","Goal 7","Goal 8","Goal 9","Goal 10","Goal 11","Goal 12","Goal 13","Goal 14","Goal 15","Goal 16","Goal 17"
"1","Afghanistan",5.1265,37.5927142857143,36.3981428571429,35.23,17.53875,51.1754,36.59,41.597,16.1234285714286,NA,34.50975,95.5407142857143,98.9146666666667,NA,77.4748,41.4229090909091,43.4866
"2","Angola",32.6725,53.25925,37.5634285714286,48.65675,50.8355,55.0684,47.58975,58.9685714285714,21.1814285714286,16.479,42.36475,94.4658571428572,94.5506666666667,67.3791666666667,66.5306,40.9445454545455,54.2888
"3","Albania",98.632,57.9004285714286,82.4892857142857,90.5895,58.132,75.3298,87.84175,63.9442857142857,48.4044285714286,92.449,88.8916666666667,79.1077142857143,89.5655,49.186,82.2742,62.3673636363636,68.3796
"4","United Arab Emirates",99.6795,68.60625,88.8283076923077,98.92875,72.354,64.1826,68.894,56.8754285714286,90.7521428571429,100,66.381,55.206,27.8583333333333,72.4811666666667,54.90525,70.3129,42.5408
"5","Argentina",96.882,65.615375,84.1088571428571,97.2493333333333,79.99125,77.8204,72.36775,78.0328571428571,54.1291428571429,47.609,88.25125,79.1271428571429,90.434,61.4753333333333,61.323,58.7364,71.7258
"6","Armenia",95.7115,55.95425,79.8725,69.9045,65.91775,64.0974,74.09475,73.8981666666667,54.001,96.03,87.3726666666667,88.0794285714286,91.1446666666667,NA,61.3026,73.7455714285714,62.8052
"7","Australia",99.3495,58.326375,95.8358571428571,92.8973333333333,84.2445,90.7344,72.442,82.9075714285714,92.0275714285714,79.1725,93.42575,53.2862857142857,28.1256666666667,67.664,64.4796,84.8335454545454,67.2788
"8","Austria",99.187,74.844,93.1878461538462,97.1446666666667,84.8255,90.8966,86.40475,77.7994285714286,97.3528571428571,94.2605,97.0316666666667,42.8997142857143,70.5543333333333,NA,70.5904,87.164,73.0614
"9","Azerbaijan",99.3255,57.318,70.5200714285714,90.86225,53.363,66.1472,68.99425,68.8663333333333,42.5214285714286,97.5,82.39425,83.6291428571429,81.0286666666667,NA,65.5642,64.0085,69.686
"10","Burundi",0,59.7071428571429,51.9110714285714,48.40775,57.2595,55.4424,15.76125,66.1771666666667,13.2328571428571,61.4285,70.654,96.7064285714286,99.5826666666667,NA,81.7258,50.3538571428572,58.2555
"11","Belgium",99.503,73.1585,94.5793076923077,95.5966666666667,87.9315,75.047,75.29325,78.563,97.3421428571429,100,97.31975,42.6094285714286,60.5656666666667,56.6626,74.505,86.9477272727273,65.0582
"12","Benin",55.14,62.0145,43.7589285714286,52.67725,34.5845,50.5852,12.10825,77.6298571428571,36.1291666666667,69.8835,39.6945,97.2245,98.2126666666667,59.989,65.536,48.7062,61.2895
"13","Burkina Faso",26.9505,55.8175,49.4000714285714,15.31775,41.19375,46.282,5.18375,69.3362857142857,23.6932857142857,55.294,57.67125,96.0261428571429,98.9566666666667,NA,87.3238,46.1101,58.3572
"14","Bangladesh",81.384,68.268,61.5571428571429,67.1885,53.1,69.5772,51.731,71.6254285714286,50.6416666666667,80.1,34.05325,92.9887142857143,96.6375,65.92,51.1972,46.0045454545455,51.902
"15","Bulgaria",98.6735,67.822,79.1991428571429,83.82575,71.27425,66.7928,72.9983333333333,80.256,70.0711428571429,57.0025,89.7896666666667,63.5162857142857,82.32,65.6514,94.3678,71.2432,69.3318
"16","Bahrain",NA,59.7891428571429,86.0964615384615,83.93275,52.9255,61.0388,70.49575,77.9403333333333,71.8055714285714,NA,49.0786666666667,63.7397142857143,32.2185,52.0784,38.9306666666667,66.0426,47.7086666666667
"17","Bahamas, The",NA,61.0151428571429,79.8010769230769,40.4236666666667,70.49525,70.6465,70.57625,67.054,57.4358333333333,NA,100,69.6001428571429,80.9033333333333,60.5895,39.5932,51.07025,44.17275
"18","Bosnia and Herzegovina",99.8965,71.30175,75.4144615384615,62.86525,42.9175,75.7576,71.8865,72.2507142857143,54.0322857142857,80.7535,82.45825,72.2711428571429,85.8286666666667,83.8946666666667,80.4168,67.0804,78.81525
"19","Belarus",99.184,62.07375,83.6929285714286,93.645,77.26325,88.1304,71.045,61.079,60.6551428571429,100,94.46925,69.0985714285714,82.5756666666667,NA,92.461,64.5937272727273,70.5056
"20","Belize",64.77,57.231125,74.9039285714286,51.5396666666667,58.724,74.9416,71.47525,67.3128333333333,42.1816,NA,88.878,84.6535714285714,90.5173333333333,70.2046,52.1874,59.0342,68.4976
"21","Bolivia",93.275,56.642,64.3324285714286,91.0836666666667,70.43575,70.6396,69.6205,71.6522857142857,40.8748571428571,48.9395,55.6375,78.6518571428571,93.0146666666667,NA,62.5206,47.6314545454546,77.1342
"22","Brazil",84.3935,66.234125,79.7764285714286,90.163,70.8675,85.6138,91.7865,74.8987142857143,72.0608571428572,14.2255,89.31625,80.3828571428571,93.7666666666667,64.7763333333333,61.5518,56.7630909090909,77.6518
"23","Barbados",NA,51.192,84.2325384615385,83.79075,73.753,52.424,70.96,69.1406666666667,59.3878,NA,97.15,55.932,88.754,63.8731666666667,52.7623333333333,74.7809,78.02425
"24","Brunei Darussalam",NA,48.177625,87.0851666666667,97.18825,63.823,66.9732,67.0805,66.33775,77.1468571428571,NA,99.6285,58.3088571428571,7.66233333333333,52.437,56.8528,66.5288333333333,66.358
"25","Bhutan",93.108,50.2028333333333,74.5520714285714,61.493,66.18225,73.7608,74.84175,69.1426,54.0361666666667,94.904,89.6985,75.6335,90.4675,NA,64.6126,78.2062857142857,60.5672
"26","Botswana",65.1435,39.914125,54.4253571428572,61.31,68.84975,71.8482,46.99,64.5367142857143,59.172,13.662,77.37075,87.5508571428571,87.313,NA,74.2642,64.831,74.615
"27","Central African Republic",4.517,33.0208571428572,13.6665,16.80725,27.4095,40.904,20.4665,64.9986666666667,11.844,38.7,47.0225,94.0232857142857,99.419,NA,89.659,45.1994,37.271
"28","Canada",99.5865,66.578625,94.9493571428571,93.2583333333333,83.5895,83.8546,81.36025,80.8847142857143,88.0832857142857,89.397,97.4465,53.1488571428571,48.8506666666667,61.7915,61.3198,82.9563636363636,73.0322
"29","Switzerland",99.4695,71.634,95.5115833333333,97.2386666666667,83.33875,83.7606,83.69925,75.9625,98.2167142857143,81.8,97.3165,35.5984285714286,69.6483333333333,NA,67.1814,82.2098571428571,59.4154
"30","Chile",95.704,66.609875,89.5601428571429,95.71625,77.866,90.1412,82.462,80.2805714285714,71.2454285714286,28.618,90.5975,74.0768571428572,85.3266666666667,78.2752,52.7732,76.0069090909091,87.66975
"31","China",97.967,82.238875,84.0178461538462,99.781,76.051,70.731,69.172,76.4584285714286,83.2872857142857,36.479,71.0723333333333,74.4608571428572,75.8735,56.6915,47.48,57.342875,45.389
"32","Cote d'Ivoire",72.8525,61.415625,46.2557142857143,51.6465,37.38775,55.0506,48.29325,74.6044285714286,39.4554285714286,69.213,57.61725,92.6727142857143,97.8053333333333,79.3491666666667,72.8238,54.7457,55.1254
"33","Cameroon",49.9725,62.541,45.7938571428571,48.7615,57.233,56.8804,48.64375,70.0038571428571,29.4776666666667,36.0045,53.0646666666667,96.6517142857143,98.3733333333333,73.699,63.2998,37.5878181818182,45.699
"34","Congo, Dem. Rep.",7.4565,50.540625,38.5412142857143,42.1296666666667,40.63475,41.2382,29.14525,67.5597142857143,17.6168571428571,32.9675,37.05,97.3206666666667,99.3593333333333,77.89725,69.6312,31.0916,47.935
