"","Country","Goal 1","Goal 2","Goal 3","Goal 4","Goal 5","Goal 6","Goal 7","Goal 8","Goal 9","Goal 10","Goal 11","Goal 12","Goal 13","Goal 14","Goal 15","Goal 16","Goal 17"
"1","Afghanistan",0.00667768595041322,0.00360802833530106,0.00332467532467532,0.00466587957497048,0.00368358913813459,0.00444864226682408,0.0014073199527745,0.00688547815820543,0.00448642266824085,0.00459976387249115,0.00334356552538371,0.00242739079102715,0.00376859504132231,0.00212514757969303,0.0020590318772137,0.00721605667060213,0.00603541912632822
"2","Albania",0.00367917586460633,0.00212574605510588,0.00539612460142261,0.0053143651377647,0.00376093532826425,0.00130815141852669,0.00343389747363257,0.00441501103752759,0.00744011119287057,0.00384269479192216,0.004006213719238,0.00171694873681629,0.00212574605510588,0.00228926498242172,0.00049055678194751,0.00547788406508053,0.00286158122802714
"3","Algeria",0.00219831780898095,0.00302377311274851,0.00827193104407062,0.00908000834144307,0.00299770610315585,0.00166828861393021,0.0023199638537467,0.00878458223272626,0.0129726817739469,0.00389267343250382,0.00144237453079383,0.00159008758515223,0.0031541081607118,0.000634297233421382,0.00301508410955095,0.00402300848046712,0.00486584179062978
"4","Andorra",0.00182757398877347,0.00138000484866568,0.000634056281819369,0.0124946384946758,0.00111892285026947,0.00294649683904295,0.00253622512727747,0.00402812226097011,0.00165973556123305,0.00216325084385432,0.00374839154840274,0.00704921395669769,0.00727299852675158,0.000559461425134737,0.00274136098316021,0.00331947112246611,0.00313298398075453
"5","Angola",0.00342551726930396,0.00359557841033324,0.00367655990606146,0.00464023970522736,0.00120257521156416,0.00377778677572175,0.00344171356844961,0.00766084949589019,0.00691581973519051,0.00294367736972102,0.00326760335263392,0.00777827266469612,0.00174920030772968,0.00154674656840912,0.00115803538891363,0.0045835526582176,0.00401668218812001
"6","Antigua and Barbuda",0.00723972875947347,0.00309134423613881,0.0036697247706422,0.0050857598723574,0.00283207020343039,0.00586358197048265,0.00351017151974472,0.00929397686477862,0.00544475468687675,0.00458715596330275,0.00406860789788592,0.00321100917431193,0.00652173913043478,0.00370961308336657,0.00370961308336657,0.00622257678500199,0.00757877941763063
"7","Argentina",0.00587346870280248,0.00134250713206914,0.00318845443866421,0.00419533478771606,0.00285282765564692,0.00503440174525927,0.00520221513676791,0.00486658835375063,0.00738378922638027,0.00469877496224199,0.00453096157073334,0.00587346870280248,0.00201376069810371,0.00134250713206914,0.00067125356603457,0.00922973653297533,0.00268501426413828
"8","Armenia",0.00678381691867593,0.00509467375017028,0.0017708759024656,0.00670208418471598,0.00110339190845934,0.00311946601280479,0.00355537392725787,0.00645688598283613,0.00446805612314399,0.00258820324206511,0.00301048903419153,0.00257458111973846,0.00171638741315897,0.000830949461926168,0.00125323525405258,0.00700177087590247,0.00390954910775099
"9","Australia",0.000768049155145929,0.00184331797235023,0.0010752688172043,0.00706605222734255,0.000921658986175115,0.00199692780337942,0.000921658986175115,0.00768049155145929,0.0265745007680492,0.00337941628264209,0.00353302611367127,0.00184331797235023,0.00491551459293395,0.000307219662058372,0.000614439324116743,0.00122887864823349,0.00307219662058372
"10","Austria",0.0048792798855893,0.000336502061075124,0.0013460082443005,0.00445865230924539,0.00298645579204173,0.00138807100193489,0.00260789097333221,0.00374358542946076,0.00433246403634222,0.00231345166989148,0.0017666358206444,0.00294439303440734,0.00412215024817027,0.00281820476150416,0.00147219651720367,0.00471102885505174,0.00302851854967612
